symptom,remedy,ingredients,instructions,frequency,benefits,video
"cough","Honey Ginger Mix","honey;ginger juice","mix and consume","2 times/day","soothes throat","https://youtube.com/watch?v=vid1"
"fever","Tulsi Kadha","tulsi;water;pepper","boil and drink","2 times/day","reduces fever","https://youtube.com/watch?v=vid2"
"cold","Steam Inhalation","water;eucalyptus oil","inhale steam","1 time/day","clears nose","https://youtube.com/watch?v=vid3"
"headache","Peppermint Oil","peppermint oil","apply on temples","2 times/day","relieves pain","https://youtube.com/watch?v=vid4"
"acidity","Cold Milk","milk","drink directly","as needed","neutralizes acid","https://youtube.com/watch?v=vid5"
"indigestion","Ajwain Water","ajwain;water","boil and drink","after meals","improves digestion","https://youtube.com/watch?v=vid6"
"constipation","Lemon Water","lemon;water","mix and drink","morning","improves bowel","https://youtube.com/watch?v=vid7"
"fatigue","Ashwagandha Milk","ashwagandha;milk","boil and drink","night","boosts energy","https://youtube.com/watch?v=vid8"
"stress","Brahmi Tea","brahmi;water","boil and drink","daily","reduces stress","https://youtube.com/watch?v=vid9"
"anxiety","Chamomile Tea","chamomile;water","brew and drink","night","calms mind","https://youtube.com/watch?v=vid10"
"insomnia","Warm Milk","milk","drink warm","night","improves sleep","https://youtube.com/watch?v=vid11"
"sore throat","Salt Water Gargle","salt;water","gargle","2 times/day","reduces pain","https://youtube.com/watch?v=vid12"
"runny nose","Turmeric Milk","turmeric;milk","boil and drink","night","relieves cold","https://youtube.com/watch?v=vid13"
"vomiting","Ginger Tea","ginger;water","boil and drink","2 times/day","reduces nausea","https://youtube.com/watch?v=vid14"
"diarrhea","ORS Solution","salt;sugar;water","mix and drink","frequent","prevents dehydration","https://youtube.com/watch?v=vid15"
"toothache","Clove Oil","clove oil","apply","2 times/day","relieves pain","https://youtube.com/watch?v=vid16"
"bad breath","Mint Leaves","mint","chew","daily","fresh breath","https://youtube.com/watch?v=vid17"
"dry skin","Coconut Oil","coconut oil","apply","daily","moisturizes skin","https://youtube.com/watch?v=vid18"
"oily skin","Multani Mitti","multani mitti;water","apply pack","weekly","controls oil","https://youtube.com/watch?v=vid19"
"acne","Neem Paste","neem leaves","apply paste","3 times/week","reduces acne","https://youtube.com/watch?v=vid20"
"dandruff","Aloe Vera Gel","aloe vera","apply","2 times/week","reduces dandruff","https://youtube.com/watch?v=vid21"
"hair fall","Onion Juice","onion juice","apply scalp","2 times/week","promotes hair growth","https://youtube.com/watch?v=vid22"
"itching","Neem Bath","neem;water","bathe","daily","reduces itching","https://youtube.com/watch?v=vid23"
"burn","Aloe Vera","aloe vera","apply gel","as needed","heals burn","https://youtube.com/watch?v=vid24"
"cuts","Turmeric Paste","turmeric;water","apply","as needed","heals wound","https://youtube.com/watch?v=vid25"
"joint pain","Turmeric Milk","turmeric;milk","boil and drink","daily","reduces inflammation","https://youtube.com/watch?v=vid26"
"back pain","Hot Compress","hot water bag","apply heat","daily","relieves pain","https://youtube.com/watch?v=vid27"
"knee pain","Mustard Oil Massage","mustard oil","massage","daily","improves mobility","https://youtube.com/watch?v=vid28"
"muscle pain","Epsom Salt Bath","salt;water","soak","weekly","relaxes muscles","https://youtube.com/watch?v=vid29"
"eye strain","Rose Water","rose water","apply drops","daily","refreshes eyes","https://youtube.com/watch?v=vid30"
